Student,Unit,Domain,Evidence,Beginning,Developing,Proficient,Mastered,Date
,1,Number and Quantity,,,,,,
,1,Mathematical Reasoning,,,,,,
,1,Units and Quantities,,,,,,
,1,Modelling,,,,,,
,2,Seeing Structure in Expressions,,,,,,
,2,Polynomial Foundations,,,,,,
,2,Mathematical Practices,,,,,,
,3,Creating Equations,,,,,,
,3,Reasoning with Equations,,,,,,
,3,Proportional Relationships,,,,,,
,3,Financial Literacy,,,,,,
,4,Reasoning with Inequalities,,,,,,
,4,Absolute Value,,,,,,
,4,Constraints,,,,,,
,4,Modelling,,,,,,
,5,Interpreting Functions,,,,,,
,5,Building Functions,,,,,,
,5,Sequences,,,,,,
,5,Modelling,,,,,,
,6,Linear Functions,,,,,,
,6,Statistics and Data,,,,,,
,6,Regression,,,,,,
,6,Modelling,,,,,,
,7,Systems of Equations,,,,,,
,7,Systems of Inequalities,,,,,,
,7,Constraints,,,,,,
,7,Optimization,,,,,,
,8,Exponents,,,,,,
,8,Sequences,,,,,,
,8,Exponential Functions,,,,,,
,8,Financial Mathematics,,,,,,
,9,Polynomial Arithmetic,,,,,,
,9,Factoring,,,,,,
,9,Zeros and Factors,,,,,,
,9,Modelling,,,,,,
,10,Quadratic Functions,,,,,,
,10,Quadratic Equations,,,,,,
,10,Discriminant,,,,,,
,10,Modelling,,,,,,
,11,Radicals and Rational Exponents,,,,,,
,11,Coordinate Geometry,,,,,,
,11,Pythagorean Relationships,,,,,,
,11,Circles,,,,,,
,12,Statistics and Probability,,,,,,
,12,Data Analysis,,,,,,
,12,Financial Mathematics,,,,,,
,12,Evidence,,,,,,
,13,Mathematical Modelling,,,,,,
,13,Reasoning and Proof,,,,,,
,13,Communication,,,,,,
,13,Data Ethics,,,,,,
