Week,Unit,Unit Title,Lesson IDs,Focus,Evidence
1,1,"Advanced Function Language, Representations & Modelling",u01-l01; u01-l02; u01-l03,"Function Language, Relations & Multiple Representations · Domain, Range, Intercepts & End Behavior · Average Rate of Change & Difference Quotients",Printed lessons; corrections; project or assessment evidence
2,1,"Advanced Function Language, Representations & Modelling",u01-l04; u01-l05,Transformations and Families of Functions · Composition of Functions & Process Chains,Printed lessons; corrections; project or assessment evidence
3,1,"Advanced Function Language, Representations & Modelling",u01-l06; u01-l07,"Inverse Functions and Restricted Domains · Choosing, Fitting & Validating Models",Printed lessons; corrections; project or assessment evidence
4,2,Polynomial & Rational Functions,u02-l01; u02-l02; u02-l03,"Power Functions and Polynomial End Behavior · Zeros, Factors & Multiplicity · Polynomial Graphs from Structure",Printed lessons; corrections; project or assessment evidence
5,2,Polynomial & Rational Functions,u02-l04; u02-l05; u02-l06,"Polynomial Division & the Remainder Theorem · Rational Functions: Domain, Holes & Asymptotes · Rational Equations, Inequalities & Sign Analysis",Printed lessons; corrections; project or assessment evidence
6,2,Polynomial & Rational Functions,u02-l07; u02-l08,Polynomial and Rational Modelling · Optimization and Technology-Assisted Validation,Printed lessons; corrections; project or assessment evidence
7,3,Exponential & Logarithmic Functions,u03-l01; u03-l02; u03-l03,"Exponential Growth, Decay & Percent Change · The Number e and Continuous Change · Logarithms as Inverses and Exponents",Printed lessons; corrections; project or assessment evidence
8,3,Exponential & Logarithmic Functions,u03-l04; u03-l05,Properties of Logarithms · Exponential and Logarithmic Equations,Printed lessons; corrections; project or assessment evidence
9,3,Exponential & Logarithmic Functions,u03-l06; u03-l07,Logarithmic Scales and Data Interpretation · Exponential Regression and Model Validation,Printed lessons; corrections; project or assessment evidence
10,4,"Angles, Radians & the Unit Circle",u04-l01; u04-l02; u04-l03,"Angles in Standard Position & Coterminal Angles · Degrees, Radians & Conversion · Arc Length, Sector Area & Angular Speed",Printed lessons; corrections; project or assessment evidence
11,4,"Angles, Radians & the Unit Circle",u04-l04; u04-l05,Unit-Circle Coordinates and Reference Angles · Exact Sine and Cosine Values,Printed lessons; corrections; project or assessment evidence
12,4,"Angles, Radians & the Unit Circle",u04-l06; u04-l07,Tangent and Reciprocal Functions on the Circle · Circular Motion and Periodic Position,Printed lessons; corrections; project or assessment evidence
