Standard,Description,Weeks
SS.912.CG.2.2,Explain the importance of political and civic participation to a constitutional republic.,1
SS.912.CG.2.3,"Explain citizen responsibilities at local, state, and national levels, including Florida ballot literacy.",1;15
SS.912.CG.2.4,"Evaluate and defend objective, evidence-based positions balancing individual interests and the public good.",1;13;18;35;36
D1.5.9-12,Determine the kinds of sources useful for answering compelling and supporting questions.,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
D3.3.9-12,Identify evidence that draws information directly and substantively from multiple sources.,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
RH.11-12.1,"Cite specific textual evidence, connecting details to an understanding of the text as a whole.",1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
RH.11-12.7,Integrate and evaluate multiple sources of information in diverse formats.,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
RH.11-12.8,"Evaluate an author’s premises, claims, and evidence by corroborating or challenging them.",1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
WHST.11-12.1,Write arguments focused on discipline-specific content.,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
SS.912.CG.1.1,"Examine intellectual influences in primary documents that contributed to the Declaration of Independence, U.S. Constitution, and Bill of Rights.",2;3
SS.912.CG.1.2,Explain the influence of Enlightenment ideas on the Declaration of Independence.,2;3
SS.912.CG.1.4,Analyze how founding ideals and principles shape the United States as a constitutional republic.,2;3;4;18
SS.912.CG.1.3,Explain Federalist arguments for ratification and republican government.,4
SS.912.CG.1.5,Explain how the Constitution and amendments uphold core political principles.,4;5;8;10;12;18
SS.912.CG.3.3,"Analyze the structures, functions, and processes of the legislative branch under Article I.",5;7;9;27
SS.912.CG.3.4,"Analyze the structures, functions, and processes of the executive branch under Article II.",5;8;9
SS.912.CG.3.6,"Explain expressed, implied, concurrent, and reserved powers.",5;6
SS.912.CG.3.12,Analyze federalism and the relationship between state and national governments.,6
SS.912.CG.2.12,"Explain how interest groups, media, and public opinion influence government decisions.",6;7;14;16;35
SS.912.CG.2.8,"Explain how parties, interest groups, media, and individuals shape public policy.",7;14;16
SS.912.CG.2.5,Analyze historical and contemporary government-imposed restrictions on rights.,8;11;12
SS.912.CG.3.5,"Describe interactions among independent regulatory agencies, branches of government, and citizens.",9
SS.912.CG.3.10,Analyze the levels and responsibilities of state and federal courts.,10
SS.912.CG.3.11,"Evaluate how landmark Supreme Court decisions affect law, liberty, and constitutional interpretation.",10;11;12;13;18
SS.912.CG.2.13,Analyze the effects of media and the internet in political communication.,11;16
SS.912.CG.2.6,Explain how foundational principles contributed to expansion of civil rights and liberties over time.,13
SS.912.CG.2.11,"Evaluate political communication for bias, factual accuracy, omission, and emotional appeal.",14;16;36
SS.912.CG.2.9,Explain state and national election processes and procedures.,15
SS.912.CG.2.10,Analyze factors affecting voter turnout.,15
SS.912.CG.3.1,Analyze political ideologies that conflict with freedom and democracy.,17
SS.912.CG.4.2,Evaluate the role and impact of United States foreign policy.,17
SS.912.CG.4.3,Explain how U.S. foreign policy supports democratic principles and human rights.,17
SS.912.CG.4.4,Identify indicators of democratization in foreign countries.,17
SS.912.E.1.1,Identify factors of production and their role in producing goods and services.,19;20
SS.912.E.1.2,"Analyze production possibilities to explain scarcity, choice, and opportunity cost.",19;20
SS.912.E.2.1,Identify and explain broad economic goals.,19;28;32
SS.912.E.3.2,Examine absolute and comparative advantage and why trade occurs.,20;33
SS.912.E.2.12,"Construct a circular-flow model including households, firms, government, finance, and trade.",20;36
SS.912.E.1.4,"Define, graph, and analyze supply, demand, quantity, and equilibrium.",21;22
SS.912.E.2.4,Explain wage and price controls and their consequences.,21;22
SS.912.E.2.8,"Differentiate direct and indirect taxes and progressive, proportional, and regressive structures.",22;27
SS.912.E.1.5,Compare forms of business organization.,23
SS.912.E.1.7,Use marginal cost analysis to explain firm price and output decisions.,23
SS.912.E.2.3,"Research contributions of entrepreneurs, inventors, and key individuals from diverse backgrounds.",23;25
SS.912.E.1.6,Compare market structures.,24
SS.912.E.1.8,Explain price and nonprice competition.,24
SS.912.E.2.6,Examine natural monopolies and government regulation.,24
SS.912.E.1.9,Describe how worker earnings are determined.,25
SS.912.E.2.5,Analyze how capital investment affects productivity and growth.,25;28
SS.912.E.2.11,Assess positive and negative externalities.,26
SS.912.E.3.4,Assess international positive and negative externalities.,26
