Week,Title,Framework Code,Description
1,"History, Memory, and the American Story",SS.912.A.1,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
1,"History, Memory, and the American Story",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
1,"History, Memory, and the American Story",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
1,"History, Memory, and the American Story",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
1,"History, Memory, and the American Story",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
1,"History, Memory, and the American Story",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
1,"History, Memory, and the American Story",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
2,"Indigenous Nations, Atlantic Encounters, and Colonization",SS.912.A.1; review of pre-1877 foundations,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
2,"Indigenous Nations, Atlantic Encounters, and Colonization",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
2,"Indigenous Nations, Atlantic Encounters, and Colonization",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
2,"Indigenous Nations, Atlantic Encounters, and Colonization",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
2,"Indigenous Nations, Atlantic Encounters, and Colonization",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
2,"Indigenous Nations, Atlantic Encounters, and Colonization",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
2,"Indigenous Nations, Atlantic Encounters, and Colonization",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
3,"Revolution, Independence, and Competing Liberties",SS.912.A.1; constitutional foundations,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
3,"Revolution, Independence, and Competing Liberties",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
3,"Revolution, Independence, and Competing Liberties",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
3,"Revolution, Independence, and Competing Liberties",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
3,"Revolution, Independence, and Competing Liberties",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
3,"Revolution, Independence, and Competing Liberties",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
3,"Revolution, Independence, and Competing Liberties",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
4,"Constitution, Federalism, and the Early Republic",SS.912.A.1; Constitution and founding documents,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
4,"Constitution, Federalism, and the Early Republic",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
4,"Constitution, Federalism, and the Early Republic",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
4,"Constitution, Federalism, and the Early Republic",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
4,"Constitution, Federalism, and the Early Republic",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
4,"Constitution, Federalism, and the Early Republic",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
4,"Constitution, Federalism, and the Early Republic",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
5,"Democracy, Markets, and Reform",SS.912.A.1; review of pre-1877 foundations,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
5,"Democracy, Markets, and Reform",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
5,"Democracy, Markets, and Reform",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
5,"Democracy, Markets, and Reform",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
5,"Democracy, Markets, and Reform",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
5,"Democracy, Markets, and Reform",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
5,"Democracy, Markets, and Reform",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
6,"Expansion, Removal, and the Mexican-American War",SS.912.A.1; review of pre-1877 foundations,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
6,"Expansion, Removal, and the Mexican-American War",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
