Week,Standard,Description,Student,Evidence,Mastery Level,Date
1,SS.912.A.1,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
1,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
1,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
1,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
1,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
1,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
1,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
2,SS.912.A.1; review of pre-1877 foundations,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
2,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
2,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
2,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
2,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
2,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
2,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
3,SS.912.A.1; constitutional foundations,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
3,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
3,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
3,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
3,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
3,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
3,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
4,SS.912.A.1; Constitution and founding documents,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
4,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
4,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
4,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
4,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
4,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
4,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
