Week,Unit,Title,Period,Regions,Essential Question,Florida Alignment
1,Unit 1 · Foundations and Founding,"History, Memory, and the American Story",1491–1607,North America and Atlantic World,"How should historians construct a national history when evidence, memory, and identity do not always agree?",SS.912.A.1
2,Unit 1 · Foundations and Founding,"Indigenous Nations, Atlantic Encounters, and Colonization",1491–1754,"North America, Caribbean, Europe, and West Africa","Why did colonization produce cooperation, exchange, dispossession, and violence at the same time?",SS.912.A.1; review of pre-1877 foundations
3,Unit 1 · Foundations and Founding,"Revolution, Independence, and Competing Liberties",1754–1783,British North America and Atlantic World,"When colonists claimed natural rights, who was included, who was excluded, and why?",SS.912.A.1; constitutional foundations
4,Unit 1 · Foundations and Founding,"Constitution, Federalism, and the Early Republic",1781–1824,United States,"How did the Constitution attempt to balance liberty, order, popular rule, and competing interests?",SS.912.A.1; Constitution and founding documents
5,"Unit 2 · Expansion, Sectionalism, and Civil War","Democracy, Markets, and Reform",1800–1848,United States,How did expanding democracy and markets create both opportunity and inequality?,SS.912.A.1; review of pre-1877 foundations
6,"Unit 2 · Expansion, Sectionalism, and Civil War","Expansion, Removal, and the Mexican-American War",1820–1850,"Continental United States, Mexico, and Indigenous homelands","Can territorial expansion be separated from questions of sovereignty, race, war, and law?",SS.912.A.1; review of pre-1877 foundations
7,"Unit 2 · Expansion, Sectionalism, and Civil War","Slavery, Abolition, and Sectional Crisis",1820–1861,United States and Atlantic World,Why did repeated political compromises fail to resolve the conflict over slavery?,SS.912.A.1; review of pre-1877 foundations
8,"Unit 2 · Expansion, Sectionalism, and Civil War","Civil War, Emancipation, and Union",1861–1865,United States,How and why did a war to preserve the Union become a war for emancipation?,SS.912.A.2
9,Unit 3 · Reconstruction and Industrial America,Reconstruction and the Meaning of Freedom,1865–1877,United States and Florida,Why did Reconstruction achieve constitutional transformation but fail to secure lasting equal protection?,SS.912.A.2; Florida history
10,Unit 3 · Reconstruction and Industrial America,"Westward Expansion, Native Sovereignty, and the New South",1865–1890,"West, South, and Florida","How did federal expansion after the Civil War reshape land, citizenship, labor, and sovereignty?",SS.912.A.3; Florida history
11,Unit 3 · Reconstruction and Industrial America,"Industrial Capitalism, Labor, and Immigration",1870–1900,United States and global migration networks,"How did industrialization change the meaning of work, opportunity, and government responsibility?",SS.912.A.3
12,Unit 3 · Reconstruction and Industrial America,"Gilded Age Politics, Jim Crow, and Populism",1877–1900,United States and Florida,"Why did democratic institutions coexist with corruption, disfranchisement, segregation, and concentrated power?",SS.912.A.3; Florida history
13,Unit 3 · Reconstruction and Industrial America,Progressive Reform and the Modern State,1890–1920,United States,"When does reform expand democracy, and when can reform create new forms of control?",SS.912.A.3; Florida history
