Week,Unit,Title,Period,Regions,Monday,Tuesday,Wednesday,Thursday,Friday
1,Unit 1 · The Historian’s World,How We Know the Past,Foundations,Global,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
2,Unit 1 · The Historian’s World,Geography and Human Systems,Foundations,Global,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
3,Unit 1 · The Historian’s World,Early Humanity and the Agricultural Revolution,Prehistory to c. 3000 BCE,"Africa, Eurasia, Oceania, Americas",Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
4,Unit 1 · The Historian’s World,"Rivers, Cities, Law, and Government",c. 3500–1500 BCE,Mesopotamia and Northeast Africa,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
5,Unit 2 · Ancient and Classical Civilizations,"Early Africa, South Asia, East Asia, and the Americas",c. 3000–500 BCE,"Africa, South Asia, East Asia, Americas",Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
6,Unit 2 · Ancient and Classical Civilizations,"Belief, Ethics, and Philosophy",c. 1500–200 BCE,"Southwest Asia, South Asia, East Asia",Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
7,Unit 2 · Ancient and Classical Civilizations,Persia and the Greek World,c. 550–323 BCE,Southwest Asia and Mediterranean,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
8,Unit 2 · Ancient and Classical Civilizations,Rome and Han China,c. 200 BCE–500 CE,Mediterranean and East Asia,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
9,Unit 3 · Regional Worlds and Expanding Faiths,South Asia and the Indian Ocean,c. 322 BCE–600 CE,South Asia and Indian Ocean,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
10,Unit 3 · Regional Worlds and Expanding Faiths,Byzantium and the Islamic World,c. 500–1258 CE,"Mediterranean, Southwest Asia, North Africa",Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
11,Unit 3 · Regional Worlds and Expanding Faiths,African Kingdoms and Trading Societies,c. 300–1600 CE,Africa,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
12,Unit 3 · Regional Worlds and Expanding Faiths,Medieval Europe,c. 500–1500 CE,Europe and Mediterranean,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
13,Unit 4 · Connections Across the Medieval World,"East Asia, 600–1450",c. 600–1450 CE,"China, Korea, Japan, Inner Asia",Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
14,Unit 4 · Connections Across the Medieval World,Indigenous Americas and Oceania,c. 250–1600 CE,Americas and Pacific,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
15,Unit 4 · Connections Across the Medieval World,Networks of Exchange,c. 600–1450 CE,Afro-Eurasia,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
16,Unit 4 · Connections Across the Medieval World,Mongol Expansion and the Black Death,c. 1200–1400 CE,Eurasia and North Africa,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
17,Unit 4 · Connections Across the Medieval World,"Global Comparison, 1200–1450",c. 1200–1450 CE,Global,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
