Student,Week,Focus,Classwork,Mastery Best,Portfolio,Sessions Complete,Reflection or Evidence
,1,Readiness Diagnostic & Algebra Learning Plan,,,,,
,2,"Algebraic Language, Arguments & Real Numbers",,,,,
,3,"Units, Dimensional Analysis & Precision",,,,,
,4,Expression Vocabulary & Evaluation,,,,,
,5,"Properties, Distribution & Like Terms",,,,,
,6,Polynomial Foundations & GCF Factoring,,,,,
,7,Linear Equations & Verification,,,,,
,8,"Multi-Step, Identity & Literal Equations",,,,,
,9,"Proportions, Rates & Financial Equation Models",,,,,
,10,Linear Inequalities & Interval Notation,,,,,
,11,Compound & Absolute Value Constraints,,,,,
,12,"Relations, Function Tests & Notation",,,,,
,13,"Domain, Range & Multiple Representations",,,,,
,14,"Transformations, Piecewise Rules & Sequences",,,,,
,15,Slope & Constant Rate of Change,,,,,
,16,Linear Equation Forms & Line Relationships,,,,,
,17,"Scatterplots, Regression & Residuals",,,,,
,18,Linear Modelling Synthesis & Midterm,,,,,
,19,Systems by Graphing & Solution Count,,,,,
,20,Systems by Substitution & Elimination,,,,,
,21,Systems of Inequalities & Feasible Decisions,,,,,
,22,"Exponent Laws, Scientific Notation & Sequences",,,,,
,23,"Exponential Growth, Decay & Compound Interest",,,,,
,24,Polynomial Structure & Operations,,,,,
,25,Special Products & Factoring,,,,,
,26,"Zeros, Factors & Polynomial Models",,,,,
,27,Quadratic Graphs & Key Features,,,,,
,28,"Quadratic Forms, Factoring & Square Roots",,,,,
,29,"Completing the Square, Formula & Discriminant",,,,,
,30,Quadratic Modelling & Model Comparison,,,,,
,31,Radicals & Rational Exponents,,,,,
,32,"Coordinate Geometry, Distance & Circles",,,,,
,33,"Study Design, Distributions & Variation",,,,,
,34,"Bivariate Data, Probability & Evidence",,,,,
,35,Financial Mathematics & Quantitative Claims,,,,,
,36,Integrated Modelling Capstone & Final Examination,,,,,
