ID,Week,Title,Type,Threshold,Weight,Description
comparative_dossier,5,Comparative Regime Dossier,Performance Assessment,70,5,"Classify and compare three political regimes using constitutional, electoral, rights, and accountability evidence."
election_analysis,10,Electoral System and Public Opinion Analysis,Quantitative Analysis,70,5,"Analyze election rules, outcomes, representation, and survey methodology using transparent calculations."
media_verification,12,Media Verification Investigation,Evidence Investigation,70,5,"Trace a consequential political claim to original records, corroborate it, and publish a correction-ready finding."
semester_exam,18,Comparative Politics Semester Examination,Examination,70,10,"Cumulative examination covering political concepts, institutions, participation, and country comparison."
proposal_defense,18,Capstone Proposal Defense,Oral Defense,75,5,"Defend the research question, scope, ethics, methodology, evidence plan, feasibility, and revision conditions."
diplomacy_simulation,21,Diplomatic Negotiation Simulation,Simulation,70,5,"Represent an assigned actor, negotiate from documented interests, and evaluate agreement design."
moot_court,23,International-Law Moot Court,Legal Performance,70,5,"Submit a legal brief and defend jurisdiction, applicable law, evidence, counterarguments, and remedy."
development_brief,26,Global Development Policy Brief,Policy Brief,70,5,"Compare development evidence and recommend an implementable, measurable, ethically justified intervention."
security_simulation,30,Global Security Simulation,Simulation,70,5,"Respond to a security crisis while documenting authority, evidence, proportionality, rights, and escalation risks."
engagement_activity,35,Political Engagement Activity,Engagement Portfolio,70,10,"Complete a lawful, nonpartisan engagement activity and document stakeholders, evidence, action, effect, and reflection."
thesis,36,Senior Research Thesis,Research Paper,75,15,"Submit a 4,000–5,000-word evidence-based paper with ethical methodology, findings, limitations, citations, and implications."
oral_defense,36,Senior Presentation and Oral Defense,Oral Defense,75,10,"Present and independently defend the thesis, methods, evidence, limitations, counterarguments, and revision conditions."
cumulative_final,36,Cumulative Final Examination,Examination,70,10,"Demonstrate broad mastery of comparative politics, international relations, law, rights, political economy, global challenges, and research."
