Jurisdiction,Current social-studies credits verified,Required named courses/assessments verified,Homeschool/transfer authority consulted,Course accepted/equivalency,Reviewer,Review date,Source link or citation,Notes
Alabama,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Alaska,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Arizona,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Arkansas,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
California,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Colorado,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Connecticut,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Delaware,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
District of Columbia,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Florida,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Georgia,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Hawaii,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Idaho,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Illinois,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Indiana,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Iowa,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Kansas,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Kentucky,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Louisiana,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
