Week,Unit,Focus,Essential Question,Rule,Detailed Route
1,Diagnostic,Readiness Diagnostic & Algebra Learning Plan,What evidence demonstrates readiness for Algebra I?,Use evidence to choose support by skill rather than labeling the learner.,diagnostic/
2,1,"Algebraic Language, Arguments & Real Numbers","How do notation, units, properties, and precision make mathematical claims trustworthy?","State definitions, preserve equivalence, and justify each transformation.",units/unit-01/
3,1,"Units, Dimensional Analysis & Precision","How do notation, units, properties, and precision make mathematical claims trustworthy?",Carry units through calculations and report only justified precision.,units/unit-01/
4,2,Expression Vocabulary & Evaluation,"How can algebraic structure help us simplify, compare, and generalize relationships?",Identify terms and factors before evaluating or rewriting.,units/unit-02/
5,2,"Properties, Distribution & Like Terms","How can algebraic structure help us simplify, compare, and generalize relationships?",Use properties to create equivalent expressions.,units/unit-02/
6,2,Polynomial Foundations & GCF Factoring,"How can algebraic structure help us simplify, compare, and generalize relationships?",Classify by degree and terms; factor only shared factors.,units/unit-02/
7,3,Linear Equations & Verification,How do equations preserve equality while representing real constraints and relationships?,Perform the same valid operation on both sides and verify.,units/unit-03/
8,3,"Multi-Step, Identity & Literal Equations",How do equations preserve equality while representing real constraints and relationships?,"Simplify both sides, identify solution type, and state restrictions.",units/unit-03/
9,3,"Proportions, Rates & Financial Equation Models",How do equations preserve equality while representing real constraints and relationships?,Define quantities and units before solving and interpreting.,units/unit-03/
10,4,Linear Inequalities & Interval Notation,"How do inequalities and absolute value describe ranges, tolerances, limits, and feasible choices?",Preserve order; reverse the sign only with negative multiplication or division.,units/unit-04/
11,4,Compound & Absolute Value Constraints,"How do inequalities and absolute value describe ranges, tolerances, limits, and feasible choices?",AND means intersection; OR means union; absolute value measures distance.,units/unit-04/
12,5,"Relations, Function Tests & Notation","How do functions connect inputs and outputs across equations, tables, graphs, and contexts?",Each allowed input must correspond to exactly one output.,units/unit-05/
13,5,"Domain, Range & Multiple Representations","How do functions connect inputs and outputs across equations, tables, graphs, and contexts?",State domain restrictions and connect all representations.,units/unit-05/
14,5,"Transformations, Piecewise Rules & Sequences","How do functions connect inputs and outputs across equations, tables, graphs, and contexts?",Track transformations relative to a parent rule.,units/unit-05/
15,6,Slope & Constant Rate of Change,"How can linear functions describe constant change, support prediction, and reveal model limitations?","Slope equals output change divided by input change, with units.",units/unit-06/
16,6,Linear Equation Forms & Line Relationships,"How can linear functions describe constant change, support prediction, and reveal model limitations?",Choose the line form that reveals the needed information.,units/unit-06/
17,6,"Scatterplots, Regression & Residuals","How can linear functions describe constant change, support prediction, and reveal model limitations?","Evaluate direction, strength, residuals, domain, and causation limits.",units/unit-06/
18,6,Linear Modelling Synthesis & Midterm,"How can linear functions describe constant change, support prediction, and reveal model limitations?","Validate linear models with units, residuals, assumptions, and domain.",units/unit-06/
19,7,Systems by Graphing & Solution Count,"How do simultaneous constraints determine intersections, feasible choices, and optimized decisions?",A system solution satisfies every equation simultaneously.,units/unit-07/
20,7,Systems by Substitution & Elimination,"How do simultaneous constraints determine intersections, feasible choices, and optimized decisions?",Choose a method that reduces complexity and verify in both equations.,units/unit-07/
21,7,Systems of Inequalities & Feasible Decisions,"How do simultaneous constraints determine intersections, feasible choices, and optimized decisions?",The feasible region is the overlap of every solution half-plane.,units/unit-07/
22,8,"Exponent Laws, Scientific Notation & Sequences",How do repeated multiplication and constant percent change create exponential patterns?,Apply exponent laws only to compatible bases and operations.,units/unit-08/
23,8,"Exponential Growth, Decay & Compound Interest",How do repeated multiplication and constant percent change create exponential patterns?,Use a multiplicative factor per time interval and state the interval.,units/unit-08/
