Learner,Week,Focus,Classwork,Mastery Best,Portfolio,Sessions Complete,Reflection/Evidence Note
,1,Readiness Diagnostic & Algebra I Bridge,,,,,
,2,"Advanced Functions, Transformations & Inverses · Part 1",,,,,
,3,"Advanced Functions, Transformations & Inverses · Part 2",,,,,
,4,Polynomial Functions & Complex Numbers · Part 1,,,,,
,5,Polynomial Functions & Complex Numbers · Part 2,,,,,
,6,Polynomial Functions & Complex Numbers · Part 3,,,,,
,7,"Polynomial Equations, Division & Graphs · Part 1",,,,,
,8,"Polynomial Equations, Division & Graphs · Part 2",,,,,
,9,"Polynomial Equations, Division & Graphs · Part 3",,,,,
,10,"Rational Expressions, Equations & Functions · Part 1",,,,,
,11,"Rational Expressions, Equations & Functions · Part 2",,,,,
,12,"Rational Expressions, Equations & Functions · Part 3",,,,,
,13,Radical Functions & Rational Exponents · Part 1,,,,,
,14,Radical Functions & Rational Exponents · Part 2,,,,,
,15,Exponential Functions & Growth Models · Part 1,,,,,
,16,Exponential Functions & Growth Models · Part 2,,,,,
,17,Exponential Functions & Growth Models · Part 3,,,,,
,18,"Midpoint Synthesis, Corrections & Examination",,,,,
,19,Logarithmic Functions & Equations · Part 1,,,,,
,20,Logarithmic Functions & Equations · Part 2,,,,,
,21,Logarithmic Functions & Equations · Part 3,,,,,
,22,Nonlinear Systems & Matrices · Part 1,,,,,
,23,Nonlinear Systems & Matrices · Part 2,,,,,
,24,"Sequences, Series & the Binomial Theorem · Part 1",,,,,
,25,"Sequences, Series & the Binomial Theorem · Part 2",,,,,
,26,"Sequences, Series & the Binomial Theorem · Part 3",,,,,
,27,Trigonometric Functions & Periodic Models · Part 1,,,,,
,28,Trigonometric Functions & Periodic Models · Part 2,,,,,
,29,Trigonometric Functions & Periodic Models · Part 3,,,,,
,30,Trigonometric Functions & Periodic Models · Part 4,,,,,
,31,"Trigonometric Identities, Equations & Oblique Triangles · Part 1",,,,,
,32,"Trigonometric Identities, Equations & Oblique Triangles · Part 2",,,,,
,33,"Trigonometric Identities, Equations & Oblique Triangles · Part 3",,,,,
,34,"Probability, Distributions & Statistical Inference · Part 1",,,,,
,35,"Probability, Distributions & Statistical Inference · Part 2",,,,,
,36,Advanced Mathematical Modelling Capstone,,,,,
