Week,Unit,Title,Essential Question,Focus,Performance,Source Laboratory,Capstone Checkpoint,Major Assessment
1,Unit 1 · Senior Inquiry and Political Analysis,Senior Inquiry and the Social Sciences,"How can a senior distinguish a defensible social-science conclusion from an opinion, slogan, or unsupported prediction?","Comparative inquiry using political science, history, economics, geography, law, sociology, and ethical reasoning.",Senior Inquiry Diagnostic and Research Notebook Charter,"United Nations Human Development data, constitutions, election records, and public-opinion evidence",,
2,Unit 1 · Senior Inquiry and Political Analysis,"Evidence, Methodology, and Academic Integrity","What procedures make research credible, ethical, reproducible, and honest?","Source authority, triangulation, research ethics, citation, plagiarism prevention, disclosure of AI assistance, and data integrity.",Verified Source Dossier and Academic Integrity Agreement,"Stanford Civic Online Reasoning, research ethics protocols, and citation standards",Integrity Agreement and Research Interests,
3,"Unit 2 · Power, Regimes, and Political Ideas","Power, Authority, Legitimacy, and Sovereignty","Why do people obey political institutions, and when does power become legitimate authority?","Coercive, economic, institutional, structural, and persuasive power; internal and external sovereignty.",Power and Legitimacy Concept Application Essay,"Max Weber’s types of authority, constitutional preambles, and recognition of states",,
4,"Unit 2 · Power, Regimes, and Political Ideas",Political Ideologies and Models of Justice,"How do political ideologies define freedom, equality, authority, property, obligation, and justice?","Liberalism, conservatism, socialism, nationalism, feminism, environmentalism, religious political thought, and plural models of justice.",Comparative Ideology and Justice Matrix,"Selections from Locke, Burke, Mill, Marx, Rawls, Indigenous political thought, and contemporary voices",,
5,"Unit 2 · Power, Regimes, and Political Ideas","Regimes, Democracy, and Authoritarianism","Which institutional evidence distinguishes democracy, hybrid regimes, and authoritarian rule?","Electoral democracy, liberal democracy, one-party systems, military rule, personalist rule, competitive authoritarianism, and democratic erosion.",Evidence-Based Regime Classification Brief,"Freedom House methodology, V-Dem indicators, constitutional rules, and election-observer reports",,Comparative Regime Dossier
6,"Unit 2 · Power, Regimes, and Political Ideas","Constitutions, Federalism, and Unitary States",How do constitutional design and territorial organization distribute power and manage diversity?,"Written and unwritten constitutions, federalism, devolution, unitary government, amendment, emergency power, and constitutional endurance.",Comparative Constitutional Design Portfolio,"United States, United Kingdom, India, Nigeria, Mexico, and South Africa constitutional structures",Preliminary Question and Scope,
7,Unit 3 · Comparative Institutions and Participation,"Executives, Legislatures, and Bureaucracies","How do presidential, parliamentary, and hybrid systems organize leadership, representation, and administration?","Presidential and parliamentary executives, cabinets, legislatures, confidence votes, coalition government, bureaucratic capacity, and oversight.",Institutional Power Map and Accountability Memo,"Cabinet formation, legislative oversight records, and comparative executive powers",,
8,Unit 3 · Comparative Institutions and Participation,"Courts, Rule of Law, and Accountability","When can courts constrain political power, and what makes judicial independence credible?","Judicial review, constitutional courts, common and civil law traditions, appointment, tenure, access to justice, corruption control, and transitional justice.",Comparative Legal Case Brief,Constitutional court decisions from multiple legal traditions and anti-corruption institutions,,
9,Unit 3 · Comparative Institutions and Participation,Parties and Electoral Systems,"How do electoral rules shape parties, representation, coalition building, and accountability?","Plurality, majority, proportional, mixed systems, district magnitude, thresholds, party systems, candidate selection, and malapportionment.",Electoral-System Simulation and Design Defense,"Election laws and results from the UK, Mexico, Nigeria, India, Germany, and South Africa",,
10,Unit 3 · Comparative Institutions and Participation,"Voting, Representation, and Public Opinion","How can citizens and analysts determine whether political participation is meaningful, equal, informed, and representative?","Turnout, franchise, registration, compulsory voting, public-opinion sampling, weighting, margins of error, representation, and political efficacy.",Electoral and Public-Opinion Quantitative Analysis,"Election administration data, public-opinion methodology reports, and representation statistics",Source Map and Annotated Bibliography I,Electoral System and Public Opinion Analysis
11,Unit 3 · Comparative Institutions and Participation,"Civil Society, Interest Groups, and Social Movements","How do people organize outside government to influence law, culture, institutions, and public priorities?","Civil society, advocacy, unions, professional associations, religious organizations, social movements, protest, repression, resource mobilization, and political opportunity.",Comparative Social Movement Evidence Dossier,"Civil-rights, labor, anti-corruption, environmental, democratic, and nationalist movement records",,
12,Unit 3 · Comparative Institutions and Participation,"Media, Propaganda, and Political Communication","How can citizens evaluate political information when governments, parties, platforms, journalists, and networks compete to shape attention?","Press systems, censorship, ownership, agenda setting, framing, propaganda, disinformation, algorithms, verification, and information resilience.",Media Verification Investigation,"The Verifier, press-freedom reports, platform transparency records, and selected propaganda artifacts",,Media Verification Investigation
13,Unit 4 · Comparative Country Laboratories,United Kingdom and Mexico,"How do two electoral democracies with different constitutional histories distribute power, representation, and accountability?","UK parliamentary sovereignty, devolution, constitutional conventions, first-past-the-post; Mexico’s federal presidency, multiparty competition, electoral reform, and state capacity.",United Kingdom–Mexico Structured Comparison,"UK Parliament, Electoral Commission, Mexico’s Constitution, INE records, and comparative data",,
14,Unit 4 · Comparative Country Laboratories,Nigeria and India,"How do large, diverse federal democracies manage identity, development, representation, and uneven state capacity?","Federalism, ethnicity, religion, language, party competition, judicial institutions, corruption, development, and regional inequality.",Nigeria–India Development and Institutions Comparison,"Constitutions, election data, census evidence, development indicators, and court decisions",Comparative Framework and Feasibility Review,
15,Unit 4 · Comparative Country Laboratories,China and Russia,"How do major authoritarian states maintain control while adapting institutions, markets, nationalism, and technology?","One-party rule, party-state institutions, personalism, federal form, managed elections, censorship, state capitalism, nationalism, and coercive capacity.",China–Russia Authority and State-Capacity Analysis,"Constitutions, party documents, election records, economic data, and information-control studies",,
16,Unit 4 · Comparative Country Laboratories,"Iran, Brazil, and South Africa","How do constitutional design, identity, inequality, social movements, and political conflict shape different paths of change?",Iran’s theocratic-republican institutions; Brazil’s presidential federalism and coalition politics; South Africa’s constitutional democracy and post-apartheid transformation.,Iran–Brazil–South Africa Political Change Seminar,"Constitutions, court decisions, election results, protest records, and inequality indicators",,
17,Unit 4 · Comparative Country Laboratories,Comparative Political Systems Synthesis,Which concepts best explain similarities and differences across political systems without erasing history and context?,"Most-similar and most-different systems, case selection, typologies, causal inference, institutional comparison, and evidence qualification.",Comparative Political Systems Portfolio,Country portfolios from Weeks 13–16 and cross-national governance datasets,,
18,Unit 4 · Comparative Country Laboratories,Semester Examination and Capstone Proposal Defense,"Can the student integrate comparative concepts, institutional evidence, country knowledge, and a defensible research plan?","Cumulative comparative politics examination, proposal, preliminary bibliography, method, ethics, feasibility, and oral defense.",Semester Examination and Capstone Proposal Defense,Semester evidence portfolio and capstone checkpoint record,Formal Proposal Defense,Comparative Politics Semester Examination
19,Unit 5 · International Relations and Global Governance,International Relations Theories,"How do competing theories explain state behavior, institutions, identity, conflict, and cooperation?","Realism, liberal institutionalism, constructivism, Marxist and dependency approaches, feminist IR, postcolonial perspectives, and levels of analysis.",International Relations Theory Application Memorandum,Selected diplomatic crises and international cooperation cases,,
20,Unit 5 · International Relations and Global Governance,Foreign Policy and National Interest,"How should governments define national interest when security, prosperity, values, law, and domestic politics conflict?","Foreign-policy decision making, executive and legislative roles, bureaucratic politics, public opinion, strategic culture, interests, values, and unintended consequences.",Foreign-Policy Decision Analysis,"Declassified decision records, executive statements, legislative debates, and outcome data",,
21,Unit 5 · International Relations and Global Governance,"Diplomacy, Negotiation, and Statecraft","How can actors negotiate durable agreements when interests, power, information, and trust differ?","Diplomacy, bargaining, mediation, signaling, leverage, reservation points, issue linkage, verification, and implementation.",Diplomatic Negotiation Simulation,"Treaty negotiations, peace processes, trade bargaining, and diplomatic communications",,Diplomatic Negotiation Simulation
22,Unit 5 · International Relations and Global Governance,International Organizations and Global Governance,"When can international organizations solve collective problems, and when do power, design, or sovereignty limit them?","United Nations, Security Council, General Assembly, regional organizations, World Trade Organization, World Bank, IMF, World Health Organization, nonstate actors, and institutional legitimacy.",International Institution Effectiveness Audit,"UN Charter, institutional voting rules, budgets, reports, and evaluations",Methods and Evidence Collection Audit,
23,"Unit 6 · International Law, Rights, and Human Mobility","International Law, Treaties, and Courts",How does international law create obligations without a single global sovereign?,"Treaties, custom, general principles, jurisdiction, state responsibility, international courts, international criminal law, humanitarian law, and enforcement.",International-Law Moot Court,"UN Charter, Vienna Convention principles, ICJ and ICC materials, and Geneva law",,International-Law Moot Court
24,"Unit 6 · International Law, Rights, and Human Mobility",Human Rights and Humanitarian Principles,"How should universal rights be interpreted, protected, and enforced across diverse societies and unequal power?","Universal Declaration, civil and political rights, economic and social rights, group rights, derogation, proportionality, monitoring, advocacy, and cultural debate.",Human Rights Monitoring Report,"Universal Declaration, core treaties, court decisions, and documented monitoring reports",,
25,"Unit 6 · International Law, Rights, and Human Mobility","Migration, Refugees, Citizenship, and Statelessness","How should states balance borders, sovereignty, labor needs, family unity, humanitarian protection, and equal dignity?","Voluntary and forced migration, refugee law, asylum, internally displaced persons, citizenship, statelessness, diaspora, remittances, integration, detention, and burden sharing.",Migration and Protection Policy Analysis,"Refugee Convention materials, UNHCR data, migration statistics, and national policies",,
26,"Unit 7 · Development, Political Economy, and Global Challenges","Development, Poverty, and Global Inequality","How should development be measured, explained, financed, and evaluated?","GDP, human development, poverty measures, capability, institutions, colonial legacies, gender, health, education, infrastructure, aid, and sustainable development.",Global Development Policy Brief,"UNDP, World Bank, national statistics, Sustainable Development Goals, and program evaluations",Annotated Bibliography II and Preliminary Analysis,Global Development Policy Brief
27,"Unit 7 · Development, Political Economy, and Global Challenges","Global Political Economy, Trade, and Debt","Who gains, who loses, and who decides in systems of global trade, finance, investment, taxation, and debt?","Comparative advantage, trade agreements, supply chains, foreign investment, sanctions, sovereign debt, financial crises, tax competition, labor, and distribution.",Global Political Economy Data Laboratory,"WTO records, trade data, sovereign-debt cases, supply-chain maps, and labor evidence",,
28,"Unit 7 · Development, Political Economy, and Global Challenges","Climate, Resources, and Environmental Justice","How can political institutions govern environmental risks that cross borders, generations, and unequal communities?","Climate science-policy interface, common but differentiated responsibilities, adaptation, mitigation, energy transition, resource conflict, environmental justice, Indigenous sovereignty, and treaty design.",Environmental Governance Case Study,"IPCC summaries, climate agreements, emissions data, adaptation plans, and environmental-justice cases",,
29,"Unit 7 · Development, Political Economy, and Global Challenges","War, Civil Conflict, and Peacebuilding","Why do conflicts begin, persist, end, and sometimes recur?","Interstate war, civil war, grievance, opportunity, security dilemmas, commitment problems, identity, external intervention, mediation, ceasefires, peace agreements, justice, and reconstruction.",Conflict Early-Warning and Peacebuilding Analysis,"Peace agreements, conflict datasets, mediation records, and post-conflict evaluations",,
30,"Unit 7 · Development, Political Economy, and Global Challenges","Security, Terrorism, Nuclear Risk, and Cyber Conflict","How should societies address severe security threats while preserving law, evidence, proportionality, and human rights?","Traditional and human security, terrorism, radicalization, counterterrorism, deterrence, proliferation, arms control, cyber operations, attribution, resilience, and emergency power.",Global Security Council Simulation,"Security Council records, arms-control treaties, threat assessments, court cases, and cyber incident reports",Findings Conference and Integrity Audit,Global Security Simulation
31,"Unit 8 · Technology, Health, and Senior Synthesis","Technology, AI, Surveillance, and Digital Rights","How should law and democratic governance respond when digital systems redistribute information, power, labor, privacy, and risk?","Artificial intelligence, automated decisions, algorithmic bias, privacy, surveillance, facial recognition, platform governance, data sovereignty, cyber rights, intellectual property, and accountability.",Technology Governance Public Hearing,"AI governance frameworks, privacy law, algorithmic audits, platform policies, and rights cases",,
32,"Unit 8 · Technology, Health, and Senior Synthesis",Public Health and Humanitarian Coordination,What makes collective response legitimate and effective during cross-border health and humanitarian emergencies?,"Public health authority, surveillance, risk communication, World Health Organization, emergency coordination, supply chains, equity, misinformation, humanitarian principles, and after-action review.",Global Emergency Response Evaluation,"WHO regulations and reports, national response records, humanitarian standards, and public-health data",,
33,"Unit 8 · Technology, Health, and Senior Synthesis",Capstone Evidence and Findings,"Can the student transform a documented body of evidence into transparent, appropriately qualified findings?","Coding, quantitative and qualitative analysis, pattern identification, triangulation, negative cases, uncertainty, tables, figures, findings, and limitations.",Capstone Findings and Limitations Portfolio,"Student evidence corpus, analysis log, data tables, and methods record",,
34,"Unit 8 · Technology, Health, and Senior Synthesis",Thesis Drafting and Peer Review,"How can revision improve reasoning, evidence, organization, fairness, and academic integrity?","Thesis architecture, literature review, methods, findings, analysis, counterargument, implications, citations, peer review, revision memo, and final editing.",Complete Thesis Draft and Revision Memorandum,"Complete draft, rubric, citation record, peer feedback, and version history",Complete Draft and Revision Memo,
35,"Unit 8 · Technology, Health, and Senior Synthesis",Political Engagement and Public Communication,How can a graduate communicate research and engage responsibly without manipulating evidence or compelling political conformity?,"Stakeholder engagement, public audience, neutral civic options, accessibility, testimony, briefings, infographics, public comments, service, reflection, and ethical boundaries.",Political Engagement Report and Public Presentation,"Stakeholder records, public meeting materials, civic resources, and student communication products",,Political Engagement Activity
