Week,Unit,Weekly Focus,Lesson IDs,Required Evidence,Teacher Notes
1,1,"Foundations, Constructions & Geometric Reasoning · Part 1",u01-l01 | u01-l02 | u01-l03,5 sessions + printable work + correction/reflection,
2,1,"Foundations, Constructions & Geometric Reasoning · Part 2",u01-l04 | u01-l05 | u01-l06,5 sessions + printable work + correction/reflection,
3,2,"Transformations, Symmetry & Congruence · Part 1",u02-l01 | u02-l02 | u02-l03,5 sessions + printable work + correction/reflection,
4,2,"Transformations, Symmetry & Congruence · Part 2",u02-l04 | u02-l05,5 sessions + printable work + correction/reflection,
5,2,"Transformations, Symmetry & Congruence · Part 3",u02-l06 | u02-l07,5 sessions + printable work + correction/reflection,
6,3,Triangle Congruence & Proof · Part 1,u03-l01 | u03-l02 | u03-l03,5 sessions + printable work + correction/reflection,
7,3,Triangle Congruence & Proof · Part 2,u03-l04 | u03-l05,5 sessions + printable work + correction/reflection,
8,3,Triangle Congruence & Proof · Part 3,u03-l06 | u03-l07,5 sessions + printable work + correction/reflection,
9,4,"Parallel Lines, Slopes & Coordinate Proof · Part 1",u04-l01 | u04-l02 | u04-l03,5 sessions + printable work + correction/reflection,
10,4,"Parallel Lines, Slopes & Coordinate Proof · Part 2",u04-l04 | u04-l05 | u04-l06,5 sessions + printable work + correction/reflection,
11,5,"Similarity, Dilations & Proportional Reasoning · Part 1",u05-l01 | u05-l02 | u05-l03,5 sessions + printable work + correction/reflection,
12,5,"Similarity, Dilations & Proportional Reasoning · Part 2",u05-l04 | u05-l05,5 sessions + printable work + correction/reflection,
13,5,"Similarity, Dilations & Proportional Reasoning · Part 3",u05-l06 | u05-l07,5 sessions + printable work + correction/reflection,
14,6,"Right Triangles, Trigonometry & Bearings · Part 1",u06-l01 | u06-l02,5 sessions + printable work + correction/reflection,
15,6,"Right Triangles, Trigonometry & Bearings · Part 2",u06-l03 | u06-l04,5 sessions + printable work + correction/reflection,
16,6,"Right Triangles, Trigonometry & Bearings · Part 3",u06-l05 | u06-l06,5 sessions + printable work + correction/reflection,
17,6,"Right Triangles, Trigonometry & Bearings · Part 4",u06-l07 | u06-l08,5 sessions + printable work + correction/reflection,
18,6,"Midpoint Synthesis, Corrections & Examination",,5 sessions + printable work + correction/reflection,
19,7,Polygons & Quadrilaterals · Part 1,u07-l01 | u07-l02 | u07-l03,5 sessions + printable work + correction/reflection,
20,7,Polygons & Quadrilaterals · Part 2,u07-l04 | u07-l05,5 sessions + printable work + correction/reflection,
21,7,Polygons & Quadrilaterals · Part 3,u07-l06 | u07-l07,5 sessions + printable work + correction/reflection,
22,8,"Circles, Arcs & Tangency · Part 1",u08-l01 | u08-l02 | u08-l03,5 sessions + printable work + correction/reflection,
23,8,"Circles, Arcs & Tangency · Part 2",u08-l04 | u08-l05 | u08-l06,5 sessions + printable work + correction/reflection,
24,8,"Circles, Arcs & Tangency · Part 3",u08-l07 | u08-l08,5 sessions + printable work + correction/reflection,
25,9,"Analytic Geometry, Loci & Conic Connections · Part 1",u09-l01 | u09-l02 | u09-l03,5 sessions + printable work + correction/reflection,
26,9,"Analytic Geometry, Loci & Conic Connections · Part 2",u09-l04 | u09-l05,5 sessions + printable work + correction/reflection,
27,9,"Analytic Geometry, Loci & Conic Connections · Part 3",u09-l06 | u09-l07,5 sessions + printable work + correction/reflection,
28,10,"Area, Measurement & Geometric Probability · Part 1",u10-l01 | u10-l02 | u10-l03 | u10-l04,5 sessions + printable work + correction/reflection,
29,10,"Area, Measurement & Geometric Probability · Part 2",u10-l05 | u10-l06 | u10-l07,5 sessions + printable work + correction/reflection,
30,11,"Solids, Surface Area & Volume · Part 1",u11-l01 | u11-l02 | u11-l03 | u11-l04,5 sessions + printable work + correction/reflection,
31,11,"Solids, Surface Area & Volume · Part 2",u11-l05 | u11-l06 | u11-l07,5 sessions + printable work + correction/reflection,
32,12,"CAD, Scale Drawing & Spatial Design · Part 1",u12-l01 | u12-l02 | u12-l03,5 sessions + printable work + correction/reflection,
33,12,"CAD, Scale Drawing & Spatial Design · Part 2",u12-l04 | u12-l05,5 sessions + printable work + correction/reflection,
34,12,"CAD, Scale Drawing & Spatial Design · Part 3",u12-l06 | u12-l07,5 sessions + printable work + correction/reflection,
35,13,Geometry Modeling Capstone & Defense · Part 1,u13-l01 | u13-l02 | u13-l03,5 sessions + printable work + correction/reflection,
36,13,Geometry Modeling Capstone & Defense · Part 2,u13-l04 | u13-l05 | u13-l06,5 sessions + printable work + correction/reflection,
