Week,Unit,Frame,Title,Essential Question,Source/Case,Model/Data Task,Seminar,Standards
1,Unit 1 · Foundations of Constitutional Government,Civic method · public evidence · constitutional citizenship,Civic Inquiry and Constitutional Citizenship,"What habits allow citizens to investigate public questions without surrendering accuracy, independence, or respect?",Civic Claim Audit,"Create a five-column evidence table: claim, source, evidence, limitation, corroboration status.",Can a good citizen strongly oppose a policy while accurately representing the evidence and the opposing argument?,SS.912.CG.2.2; SS.912.CG.2.3; SS.912.CG.2.4; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
2,Unit 1 · Foundations of Constitutional Government,Ancient republics · common law · natural rights · Enlightenment,Philosophical Foundations of Government,"Which ideas about human nature, rights, law, and power most influenced American constitutional government?",Ideas Across Documents,"Build an influence map connecting thinkers, traditions, concepts, founding documents, and constitutional structures.",Which is a greater danger to liberty: insufficient government capacity or excessive government power?,SS.912.CG.1.1; SS.912.CG.1.2; SS.912.CG.1.4; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
3,Unit 1 · Foundations of Constitutional Government,1774–1787 · independence · confederation,"Declaration, Revolution, and the Articles",How did the principles used to justify independence create both a standard for government and a problem for the new nation?,Grievance to Principle,"Diagram powers Congress possessed, powers it lacked, and consequences of the design.","Were the Articles primarily a failure, or a reasonable first constitution for a people fearful of centralized power?",SS.912.CG.1.1; SS.912.CG.1.2; SS.912.CG.1.4; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
4,Unit 1 · Foundations of Constitutional Government,1787–1791 · convention · ratification · Bill of Rights,Constitutional Convention and Ratification,"How did compromise make constitutional government possible, and what costs or unresolved conflicts did those compromises create?",Federalist–Anti-Federalist Dossier,"Create a compromise ledger listing the problem, competing interests, agreement, beneficiaries, costs, and unresolved issue.",Does compromise strengthen constitutional legitimacy when some affected people are excluded from the bargaining table?,SS.912.CG.1.3; SS.912.CG.1.4; SS.912.CG.1.5; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
5,Unit 1 · Foundations of Constitutional Government,Articles I–VII · amendments · structural principles,Constitutional Architecture,How does constitutional structure attempt to make government energetic enough to govern but limited enough to preserve liberty?,Constitutional Power Map,"Construct a matrix showing each branch’s core powers, checks on other branches, and checks it receives.",Does institutional friction protect liberty more often than it prevents government from solving urgent problems?,SS.912.CG.1.5; SS.912.CG.3.3; SS.912.CG.3.4; SS.912.CG.3.6; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
6,"Unit 2 · Institutions, Rights, and Participation",National · state · local · tribal authority,Federalism in Practice,"When should a public problem be addressed nationally, by states, locally, or through shared authority?",Jurisdictional Case File,"Create a federalism flowchart for a Florida policy problem showing authority, funding, administration, and appeal.","When does policy variation among states represent healthy experimentation, and when does it become an unjust denial of rights?",SS.912.CG.3.6; SS.912.CG.3.12; SS.912.CG.2.12; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
7,"Unit 2 · Institutions, Rights, and Participation",Article I · lawmaking · budgeting · oversight,Congress and Representation,"How well does Congress translate a diverse public into law, representation, oversight, and national priorities?",Legislative History Lab,Model the lawmaking process and identify at least five veto points and the public justification for each.,Would reducing congressional veto points improve democratic responsiveness or weaken deliberation and minority protection?,SS.912.CG.3.3; SS.912.CG.2.8; SS.912.CG.2.12; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
8,"Unit 2 · Institutions, Rights, and Participation",Article II · administration · diplomacy · emergency power,The Presidency and Executive Power,"How should executive energy be balanced with legal limits, legislative authority, and democratic accountability?",Executive Authority Brief,"Create a separation-of-powers timeline showing executive action and responses by Congress, courts, agencies, states, and the public.","Do modern emergencies justify broader temporary executive authority, and what safeguards should automatically accompany it?",SS.912.CG.3.4; SS.912.CG.1.5; SS.912.CG.2.5; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
9,"Unit 2 · Institutions, Rights, and Participation",Federal administration · rulemaking · implementation,"Administration, Agencies, and Regulation","How can expert administration remain effective, transparent, lawful, and accountable to elected government and the public?",Rulemaking Record,"Diagram the implementation chain from statute to agency rule, frontline administration, affected public, review, and correction.",Should major technical regulations be made primarily by elected legislators or specialized agencies?,SS.912.CG.3.5; SS.912.CG.3.3; SS.912.CG.3.4; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
10,"Unit 2 · Institutions, Rights, and Participation",Article III · jurisdiction · precedent · constitutional interpretation,"Courts, Judicial Review, and Legal Reasoning","What gives courts authority to interpret law, and how should judges justify decisions that affect public power and individual rights?",Landmark Case Brief,"Build a jurisdiction map showing state trial and appellate courts, federal district and appellate courts, and paths to the Supreme Court.","When is overturning precedent an act of constitutional correction, and when does it undermine legal stability?",SS.912.CG.3.10; SS.912.CG.3.11; SS.912.CG.1.5; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
11,"Unit 3 · Liberty, Equality, and Democratic Participation",First Amendment · incorporation · public forums,"Civil Liberties: Expression, Press, Religion, and Assembly","How should constitutional government protect expression and conscience while addressing harm, order, and competing rights?",First Amendment Scenario Lab,"Create a doctrine decision tree distinguishing viewpoint discrimination, content-neutral regulation, school speech, threats, and press restraint.","Should the law treat large digital platforms more like private publishers, common carriers, or public forums?",SS.912.CG.2.5; SS.912.CG.3.11; SS.912.CG.2.13; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
12,"Unit 3 · Liberty, Equality, and Democratic Participation",Fourth–Eighth Amendments · Fifth and Fourteenth Amendment due process,"Due Process, Privacy, and Criminal Procedure","How should legal procedure protect liberty and fairness while enabling government to investigate, prosecute, and prevent harm?",Digital Search Case File,"Construct a criminal-process flowchart from investigation through charging, pretrial procedure, trial, sentencing, and appeal.",Should constitutional privacy depend on whether a person shared information with a technology company?,SS.912.CG.2.5; SS.912.CG.3.11; SS.912.CG.1.5; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
13,"Unit 3 · Liberty, Equality, and Democratic Participation",Reconstruction Amendments · statutes · executive action · courts,Civil Rights and Equal Protection,"How has constitutional equality expanded, and why does equal protection remain contested in law and public policy?",Equal Protection Case Comparison,"Create a change-over-time map linking movement activity, public evidence, litigation, executive action, legislation, and enforcement.","Is equal treatment always achieved by applying the same rule to everyone, or can equal protection require different remedies?",SS.912.CG.2.6; SS.912.CG.3.11; SS.912.CG.2.4; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
14,"Unit 4 · Elections, Media, and Civic Action",Political socialization · parties · polling · coalitions,"Parties, Ideologies, and Public Opinion","How do citizens organize political differences, and what makes public-opinion evidence reliable or misleading?",Poll Method Audit,"Create a coalition map showing groups, shared goals, disagreements, incentives, and risks of fragmentation.","Should representatives follow current majority opinion, campaign promises, party platforms, expert evidence, or their own judgment?",SS.912.CG.2.8; SS.912.CG.2.11; SS.912.CG.2.12; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
15,"Unit 4 · Elections, Media, and Civic Action",Registration · primaries · general elections · Electoral College,"Elections, Voting, and Florida Ballot Literacy","How do election rules convert participation into public authority, and how can citizens evaluate whether the process is accessible, secure, and representative?",Florida Sample Ballot Lab,Diagram the election process from candidate qualification and registration through certification and contest procedures.,Which reforms would most improve representation without weakening verifiable election administration?,SS.912.CG.2.3; SS.912.CG.2.9; SS.912.CG.2.10; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
16,"Unit 4 · Elections, Media, and Civic Action",Advocacy · lobbying · journalism · propaganda · platforms,"Interest Groups, Media, and Political Communication",How do organized interests and communication systems shape which issues receive attention and which policies become possible?,Political Message Verification,"Create an influence network showing group resources, tactics, institutions targeted, public messages, and measurable outcomes.",Do disclosure and source transparency adequately protect democracy from unequal influence and manipulation?,SS.912.CG.2.8; SS.912.CG.2.11; SS.912.CG.2.12; SS.912.CG.2.13; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
17,Unit 5 · Comparative Government and Civic Synthesis,Democracy · authoritarianism · totalitarianism · diplomacy,Comparative Political Systems and Foreign Policy,"What institutional evidence distinguishes constitutional democracy from authoritarian rule, and how should those differences shape foreign policy?",Comparative Regime Profile,"Build a foreign-policy options matrix comparing diplomacy, aid, trade, sanctions, alliance, deterrence, and force.",Should the United States prioritize human rights consistently even when doing so conflicts with security or economic interests?,SS.912.CG.3.1; SS.912.CG.4.2; SS.912.CG.4.3; SS.912.CG.4.4; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
18,Unit 5 · Comparative Government and Civic Synthesis,FCLE preparation · constitutional hearing · civic portfolio,Civic Literacy Synthesis and Government Capstone,"Can a student use founding principles, institutional knowledge, landmark cases, evidence, and civil discourse to evaluate a real public question?",Constitutional Hearing,"Complete a civic-literacy concept map linking documents, principles, institutions, cases, and participation.",What evidence should be required before government adopts a policy that limits liberty or commits substantial public resources?,SS.912.CG.1.4; SS.912.CG.1.5; SS.912.CG.2.4; SS.912.CG.3.11; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
19,Unit 6 · Microeconomic Foundations,Scarcity · opportunity cost · marginal analysis,"Economic Reasoning: Scarcity, Choice, and Incentives",How can economic reasoning clarify tradeoffs without pretending that every value can be reduced to money?,Decision Memo,"Graph a production possibilities frontier and explain efficient, inefficient, unattainable, and growth outcomes.","When should a public decision reject the most economically efficient option because of rights, fairness, or dignity?",SS.912.E.1.1; SS.912.E.1.2; SS.912.E.2.1; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
20,Unit 6 · Microeconomic Foundations,Factors of production · productivity · exchange,"Production, Specialization, and Comparative Advantage",Why can specialization and trade create gains even when one producer is more productive at everything?,Comparative Advantage Table,"Construct a circular-flow model linking households, firms, factor markets, product markets, government, finance, and trade.",Should government compensate workers and communities that bear concentrated costs from trade and technological change?,SS.912.E.1.1; SS.912.E.1.2; SS.912.E.3.2; SS.912.E.2.12; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
