Week,Unit,Unit Title,Detailed Focus,Lesson IDs,Investigation / Evidence,Mastery
1,01,Calculus Readiness & Function Fluency,"Function Language, Units & Multiple Representations · Domains, Ranges, Intercepts & End Behavior · Transformations, Composition & Inverse Structure",u01-l01 | u01-l02 | u01-l03,Readiness Portfolio & Function Behavior Defense,Unit 01 mastery and corrections
2,01,Calculus Readiness & Function Fluency,Average Rate of Change & Difference Quotients · Algebraic Techniques for Calculus,u01-l04 | u01-l05,Readiness Portfolio & Function Behavior Defense,Unit 01 mastery and corrections
3,01,Calculus Readiness & Function Fluency,"Trigonometric, Exponential & Logarithmic Fluency · Modelling Assumptions, Technology & Verification",u01-l06 | u01-l07,Readiness Portfolio & Function Behavior Defense,Unit 01 mastery and corrections
4,02,"Limits: Numerical, Graphical & Algebraic Reasoning","Approaching a Value: Tables, Graphs & Language · One-Sided Limits and Two-Sided Agreement · Limits from Graphs with Holes and Jumps",u02-l01 | u02-l02 | u02-l03,Limit Evidence Laboratory,Unit 02 mastery and corrections
5,02,"Limits: Numerical, Graphical & Algebraic Reasoning",Limit Laws and Direct Substitution · Indeterminate Forms and Algebraic Simplification · Rationalization and Radical Limits,u02-l04 | u02-l05 | u02-l06,Limit Evidence Laboratory,Unit 02 mastery and corrections
6,02,"Limits: Numerical, Graphical & Algebraic Reasoning",Infinite Limits and Vertical Asymptotes · Limits at Infinity and End Behavior,u02-l07 | u02-l08,Limit Evidence Laboratory,Unit 02 mastery and corrections
7,03,Continuity & Asymptotic Behavior,Continuity at a Point and on an Interval · Classifying Discontinuities · Piecewise Functions and Continuity Conditions,u03-l01 | u03-l02 | u03-l03,Continuity Design & Error Analysis,Unit 03 mastery and corrections
8,03,Continuity & Asymptotic Behavior,The Intermediate Value Theorem · The Squeeze Theorem,u03-l04 | u03-l05,Continuity Design & Error Analysis,Unit 03 mastery and corrections
9,03,Continuity & Asymptotic Behavior,"Continuity of Composite and Transcendental Functions · Continuity, Asymptotes & Model Reliability",u03-l06 | u03-l07,Continuity Design & Error Analysis,Unit 03 mastery and corrections
10,04,The Derivative from First Principles,Secant Slopes and Average Change · The Difference Quotient · Derivative as a Limit,u04-l01 | u04-l02 | u04-l03,Secant-to-Tangent Investigation,Unit 04 mastery and corrections
11,04,The Derivative from First Principles,"Tangent Lines and Local Linear Behavior · Differentiability and Corners, Cusps & Vertical Tangents",u04-l04 | u04-l05,Secant-to-Tangent Investigation,Unit 04 mastery and corrections
12,04,The Derivative from First Principles,"Derivative Notation, Units & Interpretation · Estimating and Sketching Derivatives from Graphs",u04-l06 | u04-l07,Secant-to-Tangent Investigation,Unit 04 mastery and corrections
13,05,Differentiation Rules & Higher Derivatives,"Constant, Power & Sum Rules · Product Rule · Quotient Rule",u05-l01 | u05-l02 | u05-l03,Derivative Rule Verification Portfolio,Unit 05 mastery and corrections
14,05,Differentiation Rules & Higher Derivatives,Derivatives of Sine and Cosine · Derivatives of Other Trigonometric Functions · Derivatives of Exponential Functions,u05-l04 | u05-l05 | u05-l06,Derivative Rule Verification Portfolio,Unit 05 mastery and corrections
15,05,Differentiation Rules & Higher Derivatives,Derivatives of Logarithmic Functions · Higher-Order Derivatives and Motion,u05-l07 | u05-l08,Derivative Rule Verification Portfolio,Unit 05 mastery and corrections
16,06,"Chain Rule, Implicit & Inverse Functions",Chain Rule Concept and Structure · Chain Rule with Polynomial and Rational Compositions · Chain Rule with Trigonometric Compositions,u06-l01 | u06-l02 | u06-l03,Connected Rates & Implicit Curves Studio,Unit 06 mastery and corrections
17,06,"Chain Rule, Implicit & Inverse Functions",Chain Rule with Exponential and Logarithmic Compositions · Implicit Differentiation · Second Derivatives of Implicit Relations,u06-l04 | u06-l05 | u06-l06,Connected Rates & Implicit Curves Studio,Unit 06 mastery and corrections
18,06,"Chain Rule, Implicit & Inverse Functions",Derivatives of Inverse and Inverse Trigonometric Functions · Logarithmic Differentiation,u06-l07 | u06-l08,Connected Rates & Implicit Curves Studio,Unit 06 mastery and corrections
19,07,Contextual Applications of Derivatives,"Position, Velocity & Acceleration · Interpreting Derivatives in Context · Related Rates: Geometry and Measurement",u07-l01 | u07-l02 | u07-l03,Dynamic Systems Modelling Report,Unit 07 mastery and corrections
20,07,Contextual Applications of Derivatives,Related Rates: Volume and Flow · Linearization and Tangent-Line Approximation,u07-l04 | u07-l05,Dynamic Systems Modelling Report,Unit 07 mastery and corrections
21,07,Contextual Applications of Derivatives,"Differentials and Propagated Error · Sensitivity, Units & Model Validation",u07-l06 | u07-l07,Dynamic Systems Modelling Report,Unit 07 mastery and corrections
22,08,Analytical Applications & Optimization,Absolute and Local Extrema · The Mean Value Theorem · Increasing and Decreasing Intervals,u08-l01 | u08-l02 | u08-l03,OHMIC CAD Optimization Brief,Unit 08 mastery and corrections
23,08,Analytical Applications & Optimization,First Derivative Test · Concavity and Points of Inflection,u08-l04 | u08-l05,OHMIC CAD Optimization Brief,Unit 08 mastery and corrections
24,08,Analytical Applications & Optimization,Second Derivative Test and Curve Analysis · Optimization and Design Constraints,u08-l06 | u08-l07,OHMIC CAD Optimization Brief,Unit 08 mastery and corrections
25,09,"Accumulation, Riemann Sums & Definite Integrals",Accumulation and Area as a Limit · Left and Right Riemann Sums · Midpoint Sums,u09-l01 | u09-l02 | u09-l03,Accumulation & Numerical Estimation Laboratory,Unit 09 mastery and corrections
26,09,"Accumulation, Riemann Sums & Definite Integrals",Trapezoidal Approximation · Definite Integral Notation and Signed Area,u09-l04 | u09-l05,Accumulation & Numerical Estimation Laboratory,Unit 09 mastery and corrections
27,09,"Accumulation, Riemann Sums & Definite Integrals",Properties of Definite Integrals · Net Change and Units of Accumulation,u09-l06 | u09-l07,Accumulation & Numerical Estimation Laboratory,Unit 09 mastery and corrections
28,10,Fundamental Theorem & Antiderivatives,"The Fundamental Theorem of Calculus, Part I · Accumulation Functions and Variable Bounds · The Fundamental Theorem of Calculus, Part II",u10-l01 | u10-l02 | u10-l03,Fundamental Theorem Evidence Portfolio,Unit 10 mastery and corrections
29,10,Fundamental Theorem & Antiderivatives,Antiderivatives and Indefinite Integrals · Initial Conditions and Particular Solutions,u10-l04 | u10-l05,Fundamental Theorem Evidence Portfolio,Unit 10 mastery and corrections
30,10,Fundamental Theorem & Antiderivatives,Basic u-Substitution · Definite Integrals with Substitution,u10-l06 | u10-l07,Fundamental Theorem Evidence Portfolio,Unit 10 mastery and corrections
31,11,Integration Methods & Numerical Analysis,Selecting an Integration Strategy · Algebraic Simplification Before Integrating · Integrals of Exponential and Logarithmic Forms · Integrals of Trigonometric Forms,u11-l01 | u11-l02 | u11-l03 | u11-l04,Integration Strategy & Error Comparison,Unit 11 mastery and corrections
32,11,Integration Methods & Numerical Analysis,"Integration by Parts: Calculus II Bridge · Comparing Numerical Integration Methods · Error, Reasonableness & Technology Verification",u11-l05 | u11-l06 | u11-l07,Integration Strategy & Error Comparison,Unit 11 mastery and corrections
33,12,Differential Equations & Growth Models,Differential Equations and Slope Fields · Verifying Solutions to Differential Equations · Separation of Variables,u12-l01 | u12-l02 | u12-l03,Growth Model & Slope-Field Investigation,Unit 12 mastery and corrections
34,12,Differential Equations & Growth Models,"Exponential Growth and Decay Models · Euler's Method · Model Comparison, Equilibria & Limitations",u12-l04 | u12-l05 | u12-l06,Growth Model & Slope-Field Investigation,Unit 12 mastery and corrections
