Week,Unit,Frame,Title,Essential Question,Source/Case,Model/Data Task,Seminar,Standards
1,Unit 1 · Financial Decisions and Income,Values · goals · behavioral finance,"Financial Values, Goals, and Decision Biases","How can a person make financial decisions that reflect long-term goals rather than pressure, habit, or cognitive bias?",Bias Audit,"Create a goal ladder with emergency, one-year, five-year, and long-term targets.",When is a financially imperfect choice still reasonable because it protects an important personal value?,SS.912.FL.1.1; SS.912.FL.1.2; SS.912.FL.4.4; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
2,Unit 1 · Financial Decisions and Income,Career pathways · wages · benefits · taxes,"Careers, Compensation, Benefits, and Pay Statements",How should a student compare career opportunities when salary is only one part of compensation and cost?,Career Comparison File,Calculate gross and net pay from a sample pay statement and identify every deduction.,How much debt is reasonable for education when future earnings are uncertain?,SS.912.FL.2.1; SS.912.FL.2.6; SS.912.E.1.9; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
3,"Unit 2 · Banking, Budgeting, and Consumer Transactions",Checking · savings · fees · deposit insurance,"Banking, Depository Institutions, and Account Management","How can a consumer select and manage a safe, low-cost bank or credit-union account?",Account Comparison,"Reconcile a monthly statement against a transaction register and identify errors, pending items, and fees.","Should overdraft protection be automatic, opt-in, or prohibited for some account types?",SS.912.FL.4.1; SS.912.FL.4.2; SS.912.FL.4.3; SS.912.FL.4.8; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
4,"Unit 2 · Banking, Budgeting, and Consumer Transactions",Income · fixed and variable expense · savings,"Budgeting, Cash Flow, and Emergency Funds","How can a budget remain realistic when income, prices, and unexpected needs change?",One-Year Budget,"Use the Verve Budget Planner to test three scenarios: baseline, income loss, and major repair.",When should a person reduce long-term saving to handle an immediate emergency?,SS.912.FL.3.1; SS.912.FL.4.4; SS.912.E.1.16; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
5,"Unit 2 · Banking, Budgeting, and Consumer Transactions",Income tax · payroll tax · sales and property tax,Taxes and Public Services,"How do taxes affect take-home pay, purchasing decisions, and the public services a household relies upon?",Tax Computation Lab,"Trace one federal, state, and local tax to the government receiving it and major services it supports.","What makes a tax system fair: ability to pay, benefits received, equal rates, equal sacrifice, or another principle?",SS.912.FL.2.6; SS.912.FL.2.8; SS.912.E.2.8; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
6,"Unit 3 · Credit, Debt, and Consumer Law",Credit history · scoring · disputes · identity theft,"Credit Reports, Scores, and Identity Protection",How can a consumer build accurate credit history while protecting identity and correcting errors?,Credit Report Audit,"Compare fraud alerts, freezes, monitoring, and identity-theft reports by purpose and limitation.","Should credit reports be used for employment, housing, or insurance decisions unrelated to borrowing?",SS.912.FL.5.5; SS.912.FL.5.7; SS.912.FL.5.15; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
7,"Unit 3 · Credit, Debt, and Consumer Law",Revolving credit · interest · fees · disclosure,"Credit Cards, APR, and Consumer Borrowing",How can a consumer compare credit offers by total cost rather than monthly payment or promotional language?,Credit Offer Comparison,"Calculate repayment time and interest under minimum payment, fixed payment, and full-statement payment scenarios.",Should credit-card issuers be allowed to market rewards without showing a personalized likely interest cost?,SS.912.FL.5.1; SS.912.FL.5.8; SS.912.FL.5.14; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
8,"Unit 3 · Credit, Debt, and Consumer Law",Installment credit · collateral · amortization,"Loans, Interest, and Major Purchases","How should a borrower compare loans for vehicles, education, housing, or other major purchases?",Loan Comparison File,Complete a fictional loan application and identify which information requires verification and why.,When is paying a higher price for a more reliable asset financially wiser than selecting the lowest purchase price?,SS.912.FL.5.3; SS.912.FL.5.4; SS.912.FL.5.6; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
9,"Unit 3 · Credit, Debt, and Consumer Law",Repayment · negotiation · counseling · legal relief,"Debt Management, Collections, and Bankruptcy",What steps should a consumer take when debt becomes unaffordable or a collector makes a disputed claim?,Debt Triage Plan,"Create a comparison matrix for self-negotiation, counseling, consolidation, settlement, and bankruptcy.",What consumer protections are necessary when a person under financial stress has less bargaining power and information?,SS.912.FL.5.10; SS.912.FL.5.11; SS.912.FL.5.14; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
10,"Unit 4 · Housing, Insurance, and Consumer Protection",Terms · consent · recurring charges · disputes,"Contracts, Billing Disputes, and Consumer Rights",How can a consumer recognize contractual obligations and challenge incorrect or unfair charges?,Contract Annotation,"Draft a complete billing-dispute letter with dates, amounts, evidence, requested remedy, and delivery record.",Should companies be allowed to bind consumers to long terms through one-click acceptance?,SS.912.FL.3.10; SS.912.FL.3.11; SS.912.FL.3.12; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
