Week,Unit,Title,Essential Question,Primary Standards,Assessment
1,Unit 1 · Financial Decisions and Income,"Financial Values, Goals, and Decision Biases","How can a person make financial decisions that reflect long-term goals rather than pressure, habit, or cognitive bias?",SS.912.FL.1.1; SS.912.FL.1.2; SS.912.FL.4.4; D1.5.9-12,Weekly quiz + constructed response
2,Unit 1 · Financial Decisions and Income,"Careers, Compensation, Benefits, and Pay Statements",How should a student compare career opportunities when salary is only one part of compensation and cost?,SS.912.FL.2.1; SS.912.FL.2.6; SS.912.E.1.9; D1.5.9-12,Weekly quiz + constructed response
3,"Unit 2 · Banking, Budgeting, and Consumer Transactions","Banking, Depository Institutions, and Account Management","How can a consumer select and manage a safe, low-cost bank or credit-union account?",SS.912.FL.4.1; SS.912.FL.4.2; SS.912.FL.4.3; SS.912.FL.4.8,Weekly quiz + constructed response
4,"Unit 2 · Banking, Budgeting, and Consumer Transactions","Budgeting, Cash Flow, and Emergency Funds","How can a budget remain realistic when income, prices, and unexpected needs change?",SS.912.FL.3.1; SS.912.FL.4.4; SS.912.E.1.16; D1.5.9-12,Weekly quiz + constructed response
5,"Unit 2 · Banking, Budgeting, and Consumer Transactions",Taxes and Public Services,"How do taxes affect take-home pay, purchasing decisions, and the public services a household relies upon?",SS.912.FL.2.6; SS.912.FL.2.8; SS.912.E.2.8; D1.5.9-12,Weekly quiz + constructed response
6,"Unit 3 · Credit, Debt, and Consumer Law","Credit Reports, Scores, and Identity Protection",How can a consumer build accurate credit history while protecting identity and correcting errors?,SS.912.FL.5.5; SS.912.FL.5.7; SS.912.FL.5.15; D1.5.9-12,Weekly quiz + constructed response
7,"Unit 3 · Credit, Debt, and Consumer Law","Credit Cards, APR, and Consumer Borrowing",How can a consumer compare credit offers by total cost rather than monthly payment or promotional language?,SS.912.FL.5.1; SS.912.FL.5.8; SS.912.FL.5.14; D1.5.9-12,Weekly quiz + constructed response
8,"Unit 3 · Credit, Debt, and Consumer Law","Loans, Interest, and Major Purchases","How should a borrower compare loans for vehicles, education, housing, or other major purchases?",SS.912.FL.5.3; SS.912.FL.5.4; SS.912.FL.5.6; D1.5.9-12,Weekly quiz + constructed response
9,"Unit 3 · Credit, Debt, and Consumer Law","Debt Management, Collections, and Bankruptcy",What steps should a consumer take when debt becomes unaffordable or a collector makes a disputed claim?,SS.912.FL.5.10; SS.912.FL.5.11; SS.912.FL.5.14; D1.5.9-12,Weekly quiz + constructed response
10,"Unit 4 · Housing, Insurance, and Consumer Protection","Contracts, Billing Disputes, and Consumer Rights",How can a consumer recognize contractual obligations and challenge incorrect or unfair charges?,SS.912.FL.3.10; SS.912.FL.3.11; SS.912.FL.3.12; D1.5.9-12,Weekly quiz + constructed response
11,"Unit 4 · Housing, Insurance, and Consumer Protection","Housing: Renting, Mortgages, and Total Occupancy Cost",How should a household compare renting and buying without assuming either choice is always superior?,SS.912.FL.5.13; SS.912.FL.5.4; SS.912.FL.3.11; D1.5.9-12,Weekly quiz + constructed response
12,"Unit 4 · Housing, Insurance, and Consumer Protection",Insurance and Risk Management,"Which risks should a person retain, reduce, transfer through insurance, or avoid?",SS.912.FL.7.1; SS.912.FL.7.8; D1.5.9-12; D3.1.9-12,Weekly quiz + constructed response
13,"Unit 5 · Saving, Investing, and Long-Term Planning","Saving, Compound Growth, and Inflation","How do time, interest, inflation, and fees change the real value of money?",SS.912.FL.4.5; SS.912.FL.4.6; SS.912.FL.4.7; D1.5.9-12,Weekly quiz + constructed response
14,"Unit 5 · Saving, Investing, and Long-Term Planning","Investing, Diversification, and Market Risk","How can a long-term investor pursue growth without confusing uncertainty, volatility, speculation, and fraud?",SS.912.FL.6.1; SS.912.FL.6.3; SS.912.FL.6.5; SS.912.FL.6.7,Weekly quiz + constructed response
15,"Unit 5 · Saving, Investing, and Long-Term Planning","Retirement, Inheritance, and Long-Term Accounts","How can a person plan for decades of future needs while tax law, work, health, and family circumstances remain uncertain?",SS.912.FL.6.10; SS.912.FL.6.13; SS.912.FL.2.7; D1.5.9-12,Weekly quiz + constructed response
16,"Unit 6 · Education, Fraud Protection, and Independent Living","Postsecondary Costs, FAFSA, Scholarships, and Student Loans","How can a student compare education options by net price, completion probability, debt, and career value?",SS.912.FL.5.16; SS.912.FL.5.17; SS.912.FL.2.1; D1.5.9-12,Weekly quiz + constructed response
17,"Unit 6 · Education, Fraud Protection, and Independent Living","Fraud, Scams, Cybersecurity, and Consumer Verification","What verification habits prevent urgency, authority, fear, or opportunity from defeating financial judgment?",SS.912.FL.1.2; SS.912.FL.5.14; SS.912.FL.5.15; D1.5.9-12,Weekly quiz + constructed response
18,"Unit 6 · Education, Fraud Protection, and Independent Living",Independent Living Financial Plan and Final Defense,"Can a student demonstrate financial readiness through a realistic, documented, resilient independent-living plan?",SS.912.FL.3.1; SS.912.FL.4.4; SS.912.FL.5.1; SS.912.FL.7.1,Weekly quiz + constructed response
