Learner,Unit,Unit Title,Standards Categories,Evidence,Date,Mastery Status,Notes
,1,"Advanced Functions, Transformations & Inverses",Functions; Building Functions; Interpreting Functions; Mathematical Modelling,,,,
,2,Polynomial Functions & Complex Numbers,Polynomial Arithmetic; Complex Number System; Zeros and Factors; Functions,,,,
,3,"Polynomial Equations, Division & Graphs",Polynomial Identities; Remainder Theorem; Factor Theorem; Graphing Polynomial Functions,,,,
,4,"Rational Expressions, Equations & Functions",Rational Expressions; Rational Equations; Rational Functions; Variation and Modelling,,,,
,5,Radical Functions & Rational Exponents,Radicals; Rational Exponents; Radical Equations; Inverse Functions,,,,
,6,Exponential Functions & Growth Models,Exponential Functions; Growth and Decay; Financial Mathematics; Modelling,,,,
,7,Logarithmic Functions & Equations,Logarithms; Inverse Functions; Exponential Equations; Applications,,,,
,8,Nonlinear Systems & Matrices,Systems of Equations; Matrices; Nonlinear Functions; Modelling,,,,
,9,"Sequences, Series & the Binomial Theorem",Sequences; Series; Recursive Functions; Binomial Theorem,,,,
,10,Trigonometric Functions & Periodic Models,Trigonometric Functions; Unit Circle; Periodic Functions; Modelling,,,,
,11,"Trigonometric Identities, Equations & Oblique Triangles",Trigonometric Identities; Trigonometric Equations; Law of Sines; Law of Cosines,,,,
,12,"Probability, Distributions & Statistical Inference",Probability; Statistics; Binomial Distribution; Normal Distribution; Inference,,,,
,13,Advanced Mathematical Modelling Capstone,Mathematical Modelling; Inquiry; Technology; Communication; Evaluation,,,,
