Checkpoint,Week,Title,Requirement
cp01,2,Integrity Agreement and Research Interests,Sign the integrity and AI-disclosure agreement; identify three feasible issue areas.
cp02,6,Preliminary Question and Scope,"Submit a focused question, cases, time period, concepts, and exclusions."
cp03,10,Source Map and Annotated Bibliography I,"Submit at least eight credible sources, including primary or authoritative records."
cp04,14,Comparative Framework and Feasibility Review,"Defend case selection, variables, access to evidence, ethics, and schedule."
cp05,18,Formal Proposal Defense,Pass the proposal defense and complete all required revisions.
cp06,22,Methods and Evidence Collection Audit,"Submit methods, evidence log, source evaluation, and data-management plan."
cp07,26,Annotated Bibliography II and Preliminary Analysis,"Show a mature evidence base, coding or calculations, and competing explanations."
cp08,30,Findings Conference and Integrity Audit,"Present preliminary findings, negative evidence, limitations, and disclosure record."
cp09,34,Complete Draft and Revision Memo,"Submit the full paper, peer review, citation audit, and revision plan."
cp10,36,"Final Thesis, Defense, and Portfolio Audit",Submit final artifacts and pass the oral defense and graduation audit.
