Category,Item,Points Possible,Score,Feedback
Assignment,W01 A1 — Source Lab — Three Ways of Knowing 1491,20,,
Assignment,W01 A2 — Atlas and Data Investigation,20,,
Assignment,W01 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W01 Quiz — History, Memory, and the American Story",25,,
Assignment,"W02 A1 — Source Lab — Charters, Covenants, and Native Diplomacy",20,,
Assignment,W02 A2 — Atlas and Data Investigation,20,,
Assignment,W02 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W02 Quiz — Indigenous Nations, Atlantic Encounters, and Colonization",25,,
Assignment,W03 A1 — Source Lab — Four Claims About Independence,20,,
Assignment,W03 A2 — Atlas and Data Investigation,20,,
Assignment,W03 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W03 Quiz — Revolution, Independence, and Competing Liberties",25,,
Assignment,W04 A1 — Source Lab — Designing a Republic,20,,
Assignment,W04 A2 — Atlas and Data Investigation,20,,
Assignment,W04 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W04 Quiz — Constitution, Federalism, and the Early Republic",25,,
Assignment,W05 A1 — Source Lab — Voices of the Market Revolution,20,,
Assignment,W05 A2 — Atlas and Data Investigation,20,,
Assignment,W05 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W05 Quiz — Democracy, Markets, and Reform",25,,
Assignment,"W06 A1 — Source Lab — Law, War, and Territorial Claims",20,,
Assignment,W06 A2 — Atlas and Data Investigation,20,,
Assignment,W06 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W06 Quiz — Expansion, Removal, and the Mexican-American War",25,,
Assignment,W07 A1 — Source Lab — Freedom Claims and Proslavery Claims,20,,
Assignment,W07 A2 — Atlas and Data Investigation,20,,
Assignment,W07 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W07 Quiz — Slavery, Abolition, and Sectional Crisis",25,,
Assignment,W08 A1 — Source Lab — From Union to Emancipation,20,,
Assignment,W08 A2 — Atlas and Data Investigation,20,,
Assignment,W08 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W08 Quiz — Civil War, Emancipation, and Union",25,,
Assignment,"W09 A1 — Source Lab — Rights, Labor, and Enforcement",20,,
Assignment,W09 A2 — Atlas and Data Investigation,20,,
Assignment,W09 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,W09 Quiz — Reconstruction and the Meaning of Freedom,25,,
Assignment,W10 A1 — Source Lab — Land Policy and Lived Experience,20,,
Assignment,W10 A2 — Atlas and Data Investigation,20,,
Assignment,W10 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W10 Quiz — Westward Expansion, Native Sovereignty, and the New South",25,,
Assignment,W11 A1 — Source Lab — Who Should Govern the Workplace?,20,,
Assignment,W11 A2 — Atlas and Data Investigation,20,,
Assignment,W11 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W11 Quiz — Industrial Capitalism, Labor, and Immigration",25,,
Assignment,W12 A1 — Source Lab — Democracy Under Constraint,20,,
Assignment,W12 A2 — Atlas and Data Investigation,20,,
Assignment,W12 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W12 Quiz — Gilded Age Politics, Jim Crow, and Populism",25,,
Assignment,W13 A1 — Source Lab — Reformers and the Regulated Society,20,,
Assignment,W13 A2 — Atlas and Data Investigation,20,,
Assignment,W13 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,W13 Quiz — Progressive Reform and the Modern State,25,,
Assignment,W14 A1 — Source Lab — Empire or Responsibility?,20,,
Assignment,W14 A2 — Atlas and Data Investigation,20,,
Assignment,W14 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,W14 Quiz — American Expansion and the Spanish-American War,25,,
Assignment,W15 A1 — Source Lab — War Aims and Wartime Liberty,20,,
Assignment,W15 A2 — Atlas and Data Investigation,20,,
Assignment,W15 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,W15 Quiz — World War I and the Home Front,25,,
Assignment,W16 A1 — Source Lab — Selling and Contesting Modern America,20,,
Assignment,W16 A2 — Atlas and Data Investigation,20,,
Assignment,W16 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W16 Quiz — The 1920s: Mass Culture, Prosperity, and Conflict",25,,
Assignment,W17 A1 — Source Lab — Explaining Economic Collapse,20,,
Assignment,W17 A2 — Atlas and Data Investigation,20,,
Assignment,W17 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,W17 Quiz — The Great Depression and the Crisis of Confidence,25,,
Assignment,"W18 A1 — Source Lab — Relief, Recovery, Reform, and Constitutional Power",20,,
Assignment,W18 A2 — Atlas and Data Investigation,20,,
Assignment,W18 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,W18 Quiz — The New Deal and the Changing Federal Government,25,,
Assignment,W19 A1 — Source Lab — From Neutrality to War,20,,
Assignment,W19 A2 — Atlas and Data Investigation,20,,
Assignment,W19 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,W19 Quiz — World War II: From Neutrality to Global War,25,,
Assignment,"W20 A1 — Source Lab — War, Rights, and Responsibility",20,,
Assignment,W20 A2 — Atlas and Data Investigation,20,,
Assignment,W20 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W20 Quiz — World War II: Mobilization, Holocaust, and Victory",25,,
Assignment,W21 A1 — Source Lab — Competing Visions of the Postwar World,20,,
Assignment,W21 A2 — Atlas and Data Investigation,20,,
Assignment,W21 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,W21 Quiz — Cold War Origins and the Containment State,25,,
Assignment,W22 A1 — Source Lab — Building the Postwar Dream,20,,
Assignment,W22 A2 — Atlas and Data Investigation,20,,
Assignment,W22 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W22 Quiz — Postwar Prosperity, Suburbia, and Unequal Opportunity",25,,
Assignment,W23 A1 — Source Lab — Law Meets Local Organizing,20,,
Assignment,W23 A2 — Atlas and Data Investigation,20,,
Assignment,W23 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W23 Quiz — Brown, Montgomery, and the Modern Civil Rights Movement",25,,
Assignment,W24 A1 — Source Lab — Strategies for Freedom,20,,
Assignment,W24 A2 — Atlas and Data Investigation,20,,
Assignment,W24 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W24 Quiz — The Civil Rights Revolution, 1960–1968",25,,
Assignment,W25 A1 — Source Lab — Promises and Limits of Federal Reform,20,,
Assignment,W25 A2 — Atlas and Data Investigation,20,,
Assignment,W25 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W25 Quiz — Great Society, Immigration Reform, and Expanding Rights",25,,
Assignment,W26 A1 — Source Lab — Escalation and the Credibility Gap,20,,
Assignment,W26 A2 — Atlas and Data Investigation,20,,
Assignment,W26 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W26 Quiz — Vietnam: Containment, Escalation, and Protest",25,,
Assignment,W27 A1 — Source Lab — Accountability in a Constitutional System,20,,
Assignment,W27 A2 — Atlas and Data Investigation,20,,
Assignment,W27 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W27 Quiz — Watergate, Economic Change, and Environmental Politics",25,,
Assignment,W28 A1 — Source Lab — Why Did the Cold War End?,20,,
Assignment,W28 A2 — Atlas and Data Investigation,20,,
Assignment,W28 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W28 Quiz — Conservatism, Reagan, and the End of the Cold War",25,,
Assignment,"W29 A1 — Source Lab — Winners, Losers, and Measures of Globalization",20,,
Assignment,W29 A2 — Atlas and Data Investigation,20,,
Assignment,W29 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W29 Quiz — Globalization, Technology, and the New Immigration",25,,
Assignment,W30 A1 — Source Lab — Prosperity Without Consensus,20,,
Assignment,W30 A2 — Atlas and Data Investigation,20,,
Assignment,W30 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,W30 Quiz — Post-Cold War Politics and the 1990s,25,,
Assignment,W31 A1 — Source Lab — Security Claims and Evidence Standards,20,,
Assignment,W31 A2 — Atlas and Data Investigation,20,,
Assignment,W31 A3 — Evidence-Based Seminar or Argument,30,,
