Learner,Unit,Domain / Standard,Evidence,Date,Score or Level,Reteach / Reassessment
,1,Function notation and representations,,,,
,1,Average rate of change,,,,
,1,Composition and inverses,,,,
,1,Trigonometric fluency,,,,
,1,Exponential and logarithmic models,,,,
,1,Mathematical communication,,,,
,2,Informal limit reasoning,,,,
,2,One-sided limits,,,,
,2,Limit laws,,,,
,2,Indeterminate forms,,,,
,2,Limits at infinity,,,,
,2,Multiple-representation justification,,,,
,3,Continuity at a point,,,,
,3,Intervals of continuity,,,,
,3,Removable and nonremovable discontinuities,,,,
,3,Intermediate Value Theorem,,,,
,3,Squeeze Theorem,,,,
,3,Asymptotic behavior,,,,
,4,Derivative definition,,,,
,4,Tangent slope,,,,
,4,Instantaneous rate of change,,,,
,4,Differentiability,,,,
,4,Derivative notation,,,,
,4,Graphical derivative,,,,
,5,Power rule,,,,
,5,Constant and sum rules,,,,
,5,Product and quotient rules,,,,
,5,Derivatives of trigonometric functions,,,,
,5,Exponential and logarithmic derivatives,,,,
,5,Higher derivatives,,,,
,6,Chain rule,,,,
,6,Composite derivatives,,,,
,6,Implicit differentiation,,,,
,6,Inverse-function derivatives,,,,
,6,Inverse trigonometric derivatives,,,,
,6,Logarithmic differentiation,,,,
,7,"Position, velocity and acceleration",,,,
,7,Related rates,,,,
,7,Local linearization,,,,
,7,Differentials,,,,
,7,Error analysis,,,,
,7,Contextual interpretation,,,,
,8,Critical points,,,,
,8,Extreme Value Theorem,,,,
,8,Mean Value Theorem,,,,
,8,Monotonicity,,,,
,8,Concavity,,,,
,8,Curve sketching,,,,
,8,Optimization,,,,
,9,Accumulation functions,,,,
,9,Riemann sums,,,,
,9,Definite integral,,,,
,9,Signed area,,,,
,9,Integral properties,,,,
,9,Numerical integration,,,,
,10,Fundamental Theorem of Calculus,,,,
,10,Accumulation-function derivatives,,,,
,10,Antiderivatives,,,,
,10,Indefinite integrals,,,,
,10,Initial-value problems,,,,
,10,Substitution,,,,
,11,Integration strategy,,,,
,11,Algebraic simplification,,,,
,11,Trigonometric antiderivatives,,,,
,11,Numerical integration,,,,
,11,Error comparison,,,,
,11,Calculator-supported verification,,,,
,12,Differential equations,,,,
,12,Slope fields,,,,
,12,Separable equations,,,,
,12,Initial-value problems,,,,
,12,Exponential growth and decay,,,,
,12,Euler's method,,,,
,13,Area between curves,,,,
,13,Volume by cross sections,,,,
,13,Disk and washer methods,,,,
,13,Average value,,,,
,13,Applied modelling,,,,
,13,Mathematical argument and defense,,,,
