Student,Checkpoint,Week,Title,Submitted Date,Approved,Revision Required,Evaluator Notes
,cp01,2,Integrity Agreement and Research Interests,,,,
,cp02,6,Preliminary Question and Scope,,,,
,cp03,10,Source Map and Annotated Bibliography I,,,,
,cp04,14,Comparative Framework and Feasibility Review,,,,
,cp05,18,Formal Proposal Defense,,,,
,cp06,22,Methods and Evidence Collection Audit,,,,
,cp07,26,Annotated Bibliography II and Preliminary Analysis,,,,
,cp08,30,Findings Conference and Integrity Audit,,,,
,cp09,34,Complete Draft and Revision Memo,,,,
,cp10,36,"Final Thesis, Defense, and Portfolio Audit",,,,
