Week,Unit,Topic,Essential Question,Major Performance,Capstone Checkpoint
1,Unit 1 · Senior Inquiry and Political Analysis,Senior Inquiry and the Social Sciences,"How can a senior distinguish a defensible social-science conclusion from an opinion, slogan, or unsupported prediction?",Senior Inquiry Diagnostic and Research Notebook Charter,
2,Unit 1 · Senior Inquiry and Political Analysis,"Evidence, Methodology, and Academic Integrity","What procedures make research credible, ethical, reproducible, and honest?",Verified Source Dossier and Academic Integrity Agreement,Integrity Agreement and Research Interests
3,"Unit 2 · Power, Regimes, and Political Ideas","Power, Authority, Legitimacy, and Sovereignty","Why do people obey political institutions, and when does power become legitimate authority?",Power and Legitimacy Concept Application Essay,
4,"Unit 2 · Power, Regimes, and Political Ideas",Political Ideologies and Models of Justice,"How do political ideologies define freedom, equality, authority, property, obligation, and justice?",Comparative Ideology and Justice Matrix,
5,"Unit 2 · Power, Regimes, and Political Ideas","Regimes, Democracy, and Authoritarianism","Which institutional evidence distinguishes democracy, hybrid regimes, and authoritarian rule?",Evidence-Based Regime Classification Brief,
6,"Unit 2 · Power, Regimes, and Political Ideas","Constitutions, Federalism, and Unitary States",How do constitutional design and territorial organization distribute power and manage diversity?,Comparative Constitutional Design Portfolio,Preliminary Question and Scope
7,Unit 3 · Comparative Institutions and Participation,"Executives, Legislatures, and Bureaucracies","How do presidential, parliamentary, and hybrid systems organize leadership, representation, and administration?",Institutional Power Map and Accountability Memo,
8,Unit 3 · Comparative Institutions and Participation,"Courts, Rule of Law, and Accountability","When can courts constrain political power, and what makes judicial independence credible?",Comparative Legal Case Brief,
9,Unit 3 · Comparative Institutions and Participation,Parties and Electoral Systems,"How do electoral rules shape parties, representation, coalition building, and accountability?",Electoral-System Simulation and Design Defense,
10,Unit 3 · Comparative Institutions and Participation,"Voting, Representation, and Public Opinion","How can citizens and analysts determine whether political participation is meaningful, equal, informed, and representative?",Electoral and Public-Opinion Quantitative Analysis,Source Map and Annotated Bibliography I
11,Unit 3 · Comparative Institutions and Participation,"Civil Society, Interest Groups, and Social Movements","How do people organize outside government to influence law, culture, institutions, and public priorities?",Comparative Social Movement Evidence Dossier,
12,Unit 3 · Comparative Institutions and Participation,"Media, Propaganda, and Political Communication","How can citizens evaluate political information when governments, parties, platforms, journalists, and networks compete to shape attention?",Media Verification Investigation,
13,Unit 4 · Comparative Country Laboratories,United Kingdom and Mexico,"How do two electoral democracies with different constitutional histories distribute power, representation, and accountability?",United Kingdom–Mexico Structured Comparison,
14,Unit 4 · Comparative Country Laboratories,Nigeria and India,"How do large, diverse federal democracies manage identity, development, representation, and uneven state capacity?",Nigeria–India Development and Institutions Comparison,Comparative Framework and Feasibility Review
15,Unit 4 · Comparative Country Laboratories,China and Russia,"How do major authoritarian states maintain control while adapting institutions, markets, nationalism, and technology?",China–Russia Authority and State-Capacity Analysis,
16,Unit 4 · Comparative Country Laboratories,"Iran, Brazil, and South Africa","How do constitutional design, identity, inequality, social movements, and political conflict shape different paths of change?",Iran–Brazil–South Africa Political Change Seminar,
17,Unit 4 · Comparative Country Laboratories,Comparative Political Systems Synthesis,Which concepts best explain similarities and differences across political systems without erasing history and context?,Comparative Political Systems Portfolio,
18,Unit 4 · Comparative Country Laboratories,Semester Examination and Capstone Proposal Defense,"Can the student integrate comparative concepts, institutional evidence, country knowledge, and a defensible research plan?",Semester Examination and Capstone Proposal Defense,Formal Proposal Defense
19,Unit 5 · International Relations and Global Governance,International Relations Theories,"How do competing theories explain state behavior, institutions, identity, conflict, and cooperation?",International Relations Theory Application Memorandum,
20,Unit 5 · International Relations and Global Governance,Foreign Policy and National Interest,"How should governments define national interest when security, prosperity, values, law, and domestic politics conflict?",Foreign-Policy Decision Analysis,
21,Unit 5 · International Relations and Global Governance,"Diplomacy, Negotiation, and Statecraft","How can actors negotiate durable agreements when interests, power, information, and trust differ?",Diplomatic Negotiation Simulation,
